row_id,surface_au_composition,substrate_au_composition,plane_rms_A,plane_max_abs_A,au_au_avg_bond_strain_surface,au_cu_avg_bond_strain_surface,cu_cu_avg_bond_strain_surface,au_avg_voronoi_strain,cu_avg_voronoi_strain,avg_au_cu_area_strain,diff_area_au_minus_cu_strain
74,16.0,0.0,0.07541584147679144,0.1948814595290735,-6.838549596726327,-5.3344158882680155,-0.6802380852971274,-20.553531258405936,-0.6713012254732643,-3.852458030742491,-19.88223003293267
75,20.0,0.0,0.08368246517102164,0.18509122806415515,-6.907795649207527,-5.926910175725574,-0.5650129097083876,-21.619241961797503,-0.5376322006511522,-4.753954152880422,-21.08160976114635
76,8.0,0.0,0.09009190584742031,0.238688848863017,-5.187379151040581,-4.5829429195339895,-0.4355971744498798,-18.422645642424357,-0.535492112369795,-1.96646439477416,-17.88715353005456
77,8.0,0.0,0.08964314412425355,0.25771722536673486,-6.27339741033746,-3.9589553917225446,-0.516898984801349,-17.870791926369456,-0.5978718130093897,-1.9797054220781947,-17.272920113360065
78,8.0,0.0,0.07211634501421053,0.20652249284413085,-6.912446805539822,-5.171034173272447,-0.3135160530805766,-19.736935800941986,-0.3853206594789727,-1.9334498707960137,-19.351615141463014
79,12.0,0.0,0.0710267700217168,0.19251575557259548,-6.197435724930588,-4.707729755044186,-0.6629480920757463,-19.2853455174096,-0.6974660886607003,-2.928011620110569,-18.5878794287489
80,8.0,0.0,0.07954519680941421,0.21526686800301364,-6.572186531203182,-5.402059958025916,-0.28159520666340204,-19.962298356377744,-0.3614714364756882,-1.9295375900678524,-19.600826919902055
81,8.0,0.0,0.0686378500369565,0.1943656130181022,nan,-5.158690205434829,-0.2752639643679209,-20.89602528352348,-0.25516083532711625,-1.906429991182825,-20.64086444819636
82,16.0,0.0,0.07463158799052796,0.16789637243805502,nan,-5.4966240402369975,-0.5496148933340077,-21.46203609513859,-0.4443924929429886,-3.8072154692942854,-21.0176436021956
83,20.0,0.0,0.08247280330124496,0.17752232979678176,nan,-5.764042710649497,-0.5937443653743173,-21.90112449037806,-0.4460792469181685,-4.737088295610147,-21.455045243459892
84,8.0,0.0,0.08696897804449101,0.23206677380991084,nan,-4.495075225261568,-0.40235893350773205,-19.801151132976628,-0.3796956430661825,-1.933412082259018,-19.421455489910446
85,8.0,0.0,0.08131995724117712,0.22250959779342344,nan,-4.0133442202159,-0.49620770855655494,-18.996010790694285,-0.470607430821237,-1.9526396996110806,-18.52540335987305
86,8.0,0.0,0.06289048840816508,0.2037564911094043,nan,-4.583634891938682,-0.39219141840736504,-19.925602739050248,-0.3644308579430303,-1.9293246084316078,-19.561171881107217
87,12.0,0.0,0.06532360369712217,0.18246829984162916,nan,-5.010161906019501,-0.5258157078039706,-20.647192752746754,-0.45545076013979513,-2.87845979925263,-20.19174199260696
88,8.0,0.0,0.06992824023953464,0.2065022218734335,nan,-5.081573544396036,-0.2894317524199124,-20.764754874407636,-0.27170219207254787,-1.9111464066593549,-20.493052682335087
89,8.0,0.0,0.06632219918230008,0.19168822189630344,nan,-5.325206611958018,-0.24263977581145388,-21.182961242628565,-0.22394554224276694,-1.9006667982736312,-20.959015700385798
90,16.0,0.0,0.07209801587554802,0.16230082386025735,nan,-5.6174735362996495,-0.49186614557647207,-21.66872149062776,-0.39535285783233975,-3.7990918390796065,-21.27336863279542
91,20.0,0.0,0.07919827735221183,0.1692930507550862,-8.241802667698767,-5.795065844948975,-0.625010317615843,-21.575953798168253,-0.5534916152049176,-4.757984051797584,-21.022462182963334
92,8.0,0.0,0.09027584136986806,0.2220458275861,nan,-4.394649814118008,-0.42270832976681544,-19.6492852150435,-0.39747749987687625,-1.9376221170902062,-19.25180771516662
93,8.0,0.0,0.08918855455982588,0.23554047249699192,nan,-4.6459344283904445,-0.37206260213287784,-20.074145832360443,-0.3487861362185695,-1.9268149119099192,-19.725359696141872
94,8.0,0.0,0.06531496596135863,0.19306953551452122,nan,-5.021298761855504,-0.3057035115669079,-20.691367902236678,-0.27787743019188343,-1.9109566679554673,-20.413490472044796
95,12.0,0.0,0.06618560113243342,0.17647526461705285,nan,-5.126869473400458,-0.48781617048581083,-20.862430521188898,-0.4174862763409972,-2.870879585722745,-20.4449442448479
96,8.0,0.0,0.0768866569609286,0.19494362327405215,nan,-4.858787098413362,-0.33341638009448465,-20.404073196598304,-0.31322875883360723,-1.920496313854783,-20.090844437764698
97,4.0,0.0,0.060000178064979745,0.19021657123291474,nan,-4.731589485700987,-0.15474666018360034,-20.173206479615576,-0.15254171315085116,-0.9533683038094403,-20.020664766464726
98,12.0,0.0,0.0688401558289877,0.16955750118215074,nan,-5.240898432303347,-0.452997509570366,-21.043955038233126,-0.39111006901411244,-2.869451465320395,-20.652844969219014
99,16.0,0.0,0.0749576673710378,0.1702349240174115,nan,-5.585685279040905,-0.5069062397941828,-21.611493866334673,-0.40901751815862175,-3.8014137338667897,-21.202476348176052
100,4.0,0.0,0.0809505054345454,0.2213044580198903,nan,-3.778593093870868,-0.2358373664344132,-18.61088860938669,-0.23662713230086876,-0.9715975913843016,-18.374261477085824
101,4.0,0.0,0.07924801552871427,0.2274303840138909,nan,-3.9530903690326293,-0.21913198454664756,-18.93676896791958,-0.21779791929973044,-0.9665567612445244,-18.71897104861985
102,4.0,0.0,0.058172538757574443,0.19591733724031088,nan,-4.447089825584201,-0.18224761743043755,-19.71109515711814,-0.17489218242857396,-0.9563403014161568,-19.536202974689566
103,8.0,0.0,0.06187852427316526,0.1850399507025116,nan,-4.704926316083567,-0.37375859199180994,-20.141053048618197,-0.3404318779423939,-1.9244815715964583,-19.800621170675804
104,4.0,0.0,0.0652769494961881,0.20036664055978964,nan,-5.15212725784966,-0.11415730823200568,-20.88084551196006,-0.11359757864425217,-0.9442874959768847,-20.767247933315808
105,2.7777777777777777,0.0,0.03316813201181869,0.0839298596436957,nan,-5.421874257923542,-0.05458840571320445,-21.33100963871224,-0.052074284795310656,-0.6431558224041143,-21.27893535391693
106,2.7777777777777777,0.0,0.033783248011020894,0.13149642832592795,nan,-5.150493211309088,-0.07240473005890022,-20.883971041687488,-0.06871112601197714,-0.6469127903362969,-20.81525991567551
107,0.0,0.0,0.02217404475719651,0.1271352920987176,nan,nan,0.012266565543548354,nan,0.02259278416603505,0.02259278416603505,nan
108,5.555555555555555,0.0,0.05658179047253953,0.21375331309323614,-5.537338312644603,-4.07344497000543,-0.34422061638363854,-17.784569919573837,-0.40317468436261955,-1.3688077529854652,-17.38139523521122
109,5.555555555555555,0.0,0.057999976730539374,0.22230018912760535,-6.497361124912939,-4.5796463046351175,-0.27821990698442506,-18.77855060118388,-0.32690469625480933,-1.3519961354175356,-18.45164590492907
110,5.555555555555555,0.0,0.05614194058316161,0.22500974996294854,-6.534181702120041,-4.666120019823447,-0.26699232401985584,-18.90165087581191,-0.3174191356322875,-1.3498764545311552,-18.58423174017962
111,5.555555555555555,0.0,0.056499929646137426,0.2185312122373843,-6.59926566696278,-4.7300808028812,-0.26127733567111616,-19.01699248034734,-0.3085876599613747,-1.347943483316151,-18.708404820385965
112,5.555555555555555,0.0,0.056174755770704216,0.2178852182381643,-6.586334168518642,-4.642627982678134,-0.270527897326818,-18.892396098350872,-0.31829821732617997,-1.350192544049774,-18.57409788102469
113,5.555555555555555,0.0,0.0576315126534768,0.21773944986389332,-6.464338298143592,-4.539678839491254,-0.28285658426752963,-18.71142428867728,-0.3320355191649472,-1.3531126730267433,-18.37938876951233
114,5.555555555555555,0.0,0.046913924111559265,0.18284925122835405,nan,-4.300844675490439,-0.2949296200098932,-19.462361787895908,-0.2743793575983172,-1.3403783815037387,-19.18798243029759
115,5.555555555555555,0.0,0.05498107360222316,0.2084624918632734,nan,-4.7860435013585,-0.23125837471570287,-20.27134078438555,-0.21241951367195838,-1.326804028711602,-20.058921270713594
116,5.555555555555555,0.0,0.05198320760222622,0.12455106864564963,nan,-5.790766759273189,-0.08886689057130619,-21.94182120353625,-0.08441537236050412,-1.2987156963147122,-21.857405831175747
117,5.555555555555555,0.0,0.05281512900813921,0.13354887867601417,nan,-5.789931712735446,-0.09008648199602377,-21.941472947117205,-0.08414888615307338,-1.2984446673177474,-21.85732406096413
118,5.555555555555555,0.0,0.05069007874326686,0.11611147048878845,nan,-5.647779404932179,-0.10837866567306875,-21.705568179992547,-0.10224224477765538,-1.3024270189562606,-21.60332593521489
119,5.555555555555555,0.0,0.05227895735125813,0.2064167119746587,nan,-4.548331355746222,-0.2623174534310806,-19.880601453998672,-0.24230151070531375,-1.3333181742216111,-19.638299943293358
120,5.555555555555555,0.0,0.05198320760222622,0.12455106864564963,nan,-5.790766759273189,-0.08886689057130619,-21.94182120353625,-0.08441537236050412,-1.2987156963147122,-21.857405831175747
